StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,A_VE_AW_1,A_VE_AW_2,A_VE_AW_3_1,A_VE_AW_3_2,A_VE_AW_3_3,A_VE_AW_3_4,A_VE_AW_3_5,A_VE_PI_1,A_VE_PI_2,A_VE_PI_3,A_VE_BI_1_1,A_VE_BI_1_2,A_VE_BI_1_3,A_VE_BI_1_4,A_VE_BI_1_5,Q61_1,Q61_2,Q61_3,Q61_4,Q61_5,Q61_6,A_AR_AW_1,A_AR_AW_2,A_AR_AW_3_1,A_AR_AW_3_2,A_AR_AW_3_3,A_AR_AW_3_4,A_AR_AW_3_5,A_AR_PI_1,A_AR_PI_2,A_AR_PI_3,A_AR_BI_1_1,A_AR_BI_1_2,A_AR_BI_1_3,A_AR_BI_1_4,A_AR_BI_1_5,Q61_1,Q61_2,Q61_3,Q61_4,Q61_5,Q61_6,B_AR_AW_1,B_AR_AW_2,B_AR_AW_3_1,B_AR_AW_3_2,B_AR_AW_3_3,B_AR_AW_3_4,B_AR_AW_3_5,B_AR_PI_1,B_AR_PI_2,B_AR_PI_3,B_AR_BI_1_1,B_AR_BI_1_2,B_AR_BI_1_3,B_AR_BI_1_4,B_AR_BI_1_5,Q63_1,Q63_2,Q63_3,Q63_4,Q63_5,Q63_6,B_VE_AW_1,B_VE_AW_2,B_VE_AW_3_1,B_VE_AW_3_2,B_VE_AW_3_3,B_VE_AW_3_4,B_VE_AW_3_5,B_VE_PI_1,B_VE_PI_2,B_VE_PI_3,B_VE_BI_1_1,B_VE_BI_1_2,B_VE_BI_1_3,B_VE_BI_1_4,B_VE_BI_1_5,Q65_1,Q65_2,Q65_3,Q65_4,Q65_5,Q65_6,C_AR_AW_1,C_AR_AW_2,C_AR_AW_3_1,C_AR_AW_3_2,C_AR_AW_3_3,C_AR_AW_3_4,C_AR_AW_3_5,C_AR_PI_1,C_AR_PI_2,C_AR_PI_3,C_AR_BI_1_1,C_AR_BI_1_2,C_AR_BI_1_3,C_AR_BI_1_4,C_AR_BI_1_5,Q60_1,Q60_2,Q60_3,Q60_4,Q60_5,Q60_6,C_NE_PI_1,C_NE_PI_2,C_NE_PI_3,C_NE_BI_1_1,C_NE_BI_1_2,C_NE_BI_1_3,C_NE_BI_1_4,C_NE_BI_1_5,Q54_1,Q54_2,Q54_3,Q54_4,Q54_5,Q54_6,D_1,D_2,D_3,D_4,D_5,D_6,D_7,survey_design
2025-03-17 20:25:14,2025-03-17 20:35:39,IP Address,84.3.1.69,100,624,True,2025-03-17 20:35:39,R_82KaSjbFfQ9G9e9,,,,,47.5,19.0412,anonymous,EN,Nike,"On,Acronym,Stussy,Stone Island,Carhartt",Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Somewhat agree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Nike,"The North Face,Patagonia,Salomon,Mammut,Jack Wolfskin,Helly Hensen,Arc'teryx",Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Male,"£500 - £1,000",Rarely,£50–£100,Sustainable fashion brands,Sustainability,A
2025-03-17 20:11:53,2025-03-17 21:14:32,IP Address,5.151.134.250,100,3758,True,2025-03-17 21:14:32,R_8Tp1hL4BE39SxKR,,,,,51.5128,-0.0638,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arcteryx,"The North Face,Salomon,Arc'teryx",Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,arcteryx,"On,Undercover,Stussy",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25–34,Male,"£2,000 - £2,500",Every few months,£100–£200,"Online retailers,Department stores","Style/fashion trends,Comfort,Price",B
2025-03-18 00:03:15,2025-03-18 00:16:02,IP Address,223.104.228.26,100,766,True,2025-03-18 00:16:03,R_9LUVkEJejFdoHIz,,,,,39.1424,117.1727,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patagonia、Fjallraven、Houdini Sportswear、Kari Traa、Elastique Athletics,"The North Face,Berrghaus,Patagonia,Columbia,Salomon,Jack Wolfskin,Helly Hensen,Arc'teryx",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,cos,"On,Acronym,Undercover,Stussy,Nanamica,Stone Island,Carhartt",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Female,"£1,500 - £2,000",Every few months,£200-£500,"Online retailers,Luxury boutiques,Department stores,Fast fashion brands","Comfort,Price,Brand reputation",B
2025-03-18 00:42:22,2025-03-18 00:45:51,IP Address,123.20.74.139,100,208,True,2025-03-18 00:45:52,R_6rVW6JA53OSabT3,,,,,10.822,106.6257,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Uniqlo, H&M",The North Face,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Somewhat disagree,Disagree,Somewhat agree,Disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Disagree,Somewhat disagree,Disagree,Somewhat agree,18–24,Male,"£1,000 - £1,500",Monthly,£50–£100,"Online retailers,Department stores,Sustainable fashion brands","Price,Brand reputation,Sustainability",C
2025-03-18 01:01:31,2025-03-18 01:05:24,IP Address,163.53.144.41,100,232,True,2025-03-18 01:05:25,R_4ZIkUvjjd25I9RD,,,,,-33.8672,151.1997,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adidas,"The North Face,Columbia",Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Adidas,Stussy,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Male,"£500 - £1,000",Every few months,£25–£50,Other,"Style/fashion trends,Comfort,Price,Brand reputation,Sustainability",B
2025-03-18 01:01:27,2025-03-18 01:11:06,IP Address,109.202.243.13,100,579,True,2025-03-18 01:11:07,R_2Ba3vPhHDBCLAE4,,,,,51.4828,-0.1371,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,north face,"The North Face,Salomon,Jack Wolfskin,Arc'teryx",Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat disagree,Agree,Neither agree nor disagree,Somewhat agree,Agree,18–24,Female,"Over £2,500",Monthly,£200-£500,"Luxury boutiques,Department stores","Style/fashion trends,Comfort,Brand reputation",C
2025-03-18 01:42:33,2025-03-18 01:48:57,IP Address,222.252.55.199,100,383,True,2025-03-18 01:48:58,R_4BmV4679bzfuBMj,,,,,21.0184,105.8461,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arcteryx, Northface, Columbia ","The North Face,Patagonia,Columbia,Salomon,Arc'teryx",Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Agree,Somewhat agree,18–24,Male,"£500 - £1,000",Every few months,£200-£500,"Online retailers,Luxury boutiques,Department stores,Fast fashion brands","Style/fashion trends,Comfort,Price,Brand reputation",C
2025-03-18 11:17:22,2025-03-18 11:24:03,IP Address,113.185.42.237,100,401,True,2025-03-18 11:24:04,R_3gXM3RbiUiQFh6x,,,,,21.0184,105.8461,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uniqlo,"The North Face,Patagonia,Columbia",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Somewhat disagree,Somewhat disagree,Disagree,Agree,Agree,Agree,Agree,Somewhat agree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Agree,Neither agree nor disagree,Disagree,Somewhat agree,18–24,Female,"£1,000 - £1,500",Every few months,£50–£100,"Online retailers,Department stores","Style/fashion trends,Comfort,Price",C
2025-03-18 13:14:09,2025-03-18 13:34:11,IP Address,59.153.225.212,100,1202,True,2025-03-18 13:34:12,R_4atci3wBawJoljo,,,,,21.0184,105.8461,anonymous,EN,"jaded london, polly princess, the north face, levis, diesel, amiri, calvin klein, balmain, armani, guess, hugo","Undercover,Stussy,Carhartt",Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Disagree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,uniqlo,The North Face,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Female,"£500 - £1,000",Monthly,£50–£100,"Online retailers,Luxury boutiques,Department stores,Sustainable fashion brands,Other","Style/fashion trends,Comfort",A
2025-03-18 13:41:06,2025-03-18 13:54:02,IP Address,37.203.151.209,100,775,True,2025-03-18 13:54:02,R_8jJUGIllL0PGX4Y,,,,,53.4809,-2.2374,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Patagonia, Arcteryx, TNF, Adidas, Nike, Canada Goose, Jack Wolfskin, Salomon","The North Face,Patagonia,Columbia,Salomon,Jack Wolfskin,Arc'teryx",Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Agree,Agree,Somewhat disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Somewhat agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Disagree,Neither agree nor disagree,Agree,18–24,Male,"£500 - £1,000",Every few months,£50–£100,"Online retailers,Luxury boutiques,Fast fashion brands","Style/fashion trends,Comfort,Price,Brand reputation",C
2025-03-19 14:05:41,2025-03-19 14:12:06,IP Address,158.143.112.162,100,384,True,2025-03-19 14:12:06,R_8HAg9bBgncEYR3J,,,,,51.4981,-0.0886,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Face, UnderArmour, Nike, Adidas, Puma, ","The North Face,Berrghaus,Patagonia,Columbia,Quachua",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,"Superdry, H&M, Adidas Originals, CK","On,Undercover,Carhartt",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Male,"£500 - £1,000",Monthly,£25–£50,"Online retailers,Department stores,Fast fashion brands,Other","Style/fashion trends,Price,Brand reputation",B
